date,production_capacity_index,utilization_index_original,utilization_index_seasonally_adjusted
2015-01 ,96.915,124.696,122.869
2015-02 ,96.816,106.691,126.33
2015-03 ,98.109,132.238,121.129
2015-04 ,98.905,133.82,124.854
2015-05 ,99.104,118.127,119.494
2015-06 ,99.701,132.603,126.377
2015-07 ,99.9,127.859,122.314
2015-08 ,100.0,96.107,119.506
2015-09 ,100.199,109.002,119.615
2015-10 ,101.095,126.156,118.418
2015-11 ,101.095,123.601,117.617
2015-12 ,102.189,128.832,119.038
2016-01 ,102.488,114.355,116.886
2016-02 ,102.587,102.19,116.544
2016-03 ,103.582,131.752,120.701
2016-04 ,103.582,117.883,114.001
2016-05 ,103.483,117.275,118.627
2016-06 ,103.682,122.628,117.141
2016-07 ,103.781,116.423,115.374
2016-08 ,103.582,81.265,93.632
2016-09 ,103.881,90.389,99.395
2016-10 ,104.08,112.652,105.39
2016-11 ,104.478,128.71,118.485
2016-12 ,105.672,133.577,119.125
2017-01 ,106.567,98.783,112.565
2017-02 ,106.567,108.029,110.458
2017-03 ,107.463,124.939,114.454
2017-04 ,107.463,115.572,111.796
2017-05 ,107.861,108.759,110.136
2017-06 ,107.96,114.355,109.34
2017-07 ,107.96,111.557,110.532
2017-08 ,106.866,88.564,101.51
2017-09 ,107.164,110.949,106.646
2017-10 ,107.065,90.024,103.36
2017-11 ,106.866,116.302,107.339
2017-12 ,106.965,91.849,88.099
2018-01 ,106.269,101.217,100.013
2018-02 ,106.07,87.226,102.779
2018-03 ,103.781,114.234,104.671
2018-04 ,103.184,114.964,111.284
2018-05 ,103.383,114.234,115.777
2018-06 ,103.184,110.219,109.257
2018-07 ,103.085,102.555,101.685
2018-08 ,103.284,102.555,116.82
2018-09 ,103.284,98.905,112.061
2018-10 ,103.781,122.019,114.594
2018-11 ,103.582,124.696,115.378
2018-12 ,103.284,115.572,111.025
2019-01 ,101.393,117.275,116.555
2019-02 ,101.493,89.659,104.994
2019-03 ,101.99,117.153,111.284
2019-04 ,98.607,123.723,115.6
2019-05 ,98.408,123.114,116.079
2019-06 ,98.408,113.139,112.201
2019-07 ,98.806,122.993,117.867
2019-08 ,98.706,93.187,105.453
2019-09 ,98.607,101.46,114.66
2019-10 ,98.607,121.168,113.909
2019-11 ,98.507,116.302,107.907
2019-12 ,98.209,114.599,110.325
2020-01 ,98.5,93.6,107.1
2020-02 ,97.4,79.0,77.5
2020-03 ,99.5,119.6,109.5
2020-04 ,99.4,96.5,96.7
2020-05 ,99.4,76.8,74.9
2020-06 ,99.5,95.1,90.9
2020-07 ,100.2,111.9,107.4
2020-08 ,100.2,82.2,99.2
2020-09 ,100.9,115.2,115.0
2020-10 ,101.3,112.2,115.1
2020-11 ,101.8,111.9,108.0
2020-12 ,101.7,105.8,98.6
2021-01 ,102.8,107.3,109.8
2021-02 ,102.7,92.6,108.8
2021-03 ,105.4,115.9,106.3
2021-04 ,105.4,111.1,103.7
2021-05 ,105.4,94.5,95.7
2021-06 ,105.3,109.6,101.2
2021-07 ,106.3,103.2,99.4
2021-08 ,105.9,83.9,96.8
2021-09 ,105.9,84.4,91.3
2021-10 ,106.0,94.5,95.5
2021-11 ,106.0,105.4,98.7
2021-12 ,106.4,110.4,103.2
2022-01 ,105.3,95.9,104.7
2022-02 ,105.3,94.0,104.5
2022-03 ,105.6,107.2,101.8
2022-04 ,105.5,110.0,102.1
2022-05 ,105.7,109.2,102.5
2022-06 ,106.2,113.7,111.8
2022-07 ,106.5,112.1,112.1
2022-08 ,106.4,102.6,114.3
2022-09 ,106.7,106.8,116.8
2022-10 ,108.4,110.8,108.1
2022-11 ,110.1,122.3,114.8
2022-12 ,109.6,118.8,106.4
2023-01 ,108.9,103.0,119.6
2023-02 ,109.1,111.3,112.2
2023-03 ,109.1,124.8,114.2
2023-04 ,109.1,116.3,112.0
2023-05 ,109.2,118.8,120.1
2023-06 ,109.6,114.6,108.5
2023-07 ,108.3,111.6,112.0
2023-08 ,108.3,102.6,113.7
2023-09 ,108.4,101.4,109.6
2023-10 ,109.3,109.2,111.8
2023-11 ,109.8,116.9,110.1
2023-12 ,109.9,114.0,110.0
2024-01 ,109.1,107.3,106.6
2024-02 ,109.1,94.0,107.1
2024-03 ,109.2,111.5,105.8
2024-04 ,108.6,119.0,114.5
2024-05 ,108.7,114.0,110.8
2024-06 ,108.7,108.1,105.5
2024-07 ,108.7,96.3,93.2
2024-08 ,110.3,96.8,107.0
2024-09 ,110.1,96.7,110.4
2024-10 ,110.3,109.1,106.4
2024-11 ,110.3,104.4,98.4
2024-12 ,110.5,111.7,107.7
2025-01 ,110.7,89.9,107.8
2025-02 ,109.5,106.4,108.3
2025-03 ,110.1,111.4,109.7
2025-04 ,110.1,115.7,107.1
2025-05 ,109.7,108.0,105.2
2025-06 ,109.6,107.4,108.7
2025-07 ,109.4,100.0,97.1
2025-08 ,109.4,101.9,116.6
2025-09 ,110.5,104.7,99.4
2025-10 ,110.5,92.5,100.5
2025-11 ,110.6,103.6,101.6
2025-12 ,110.6,107.5,99.9
2026-01 ,110.4,103.8,103.1
2026-02 ,110.4,84.2,99.7
2026-03 ,111.4,113.3,107.4
2026-04 ,111.4,106.6,98.5
2026-05 ,111.3,99.7,100.7
2026-06 ,112.1,116.8,113.8
2026-07 ,112.4,106.1,107.3
