"산업별","항목","단위","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"제조업","생산능력지수","","94.656","94.656","94.943","94.943","95.038","95.324","95.324","95.42","95.706","95.992","96.469","96.469","96.374","95.992","96.374","96.469","96.66","97.042","97.519","97.71","98.092","98.473","98.664","98.76","97.71","97.424","97.805","97.901","98.092","98.092","98.282","98.569","99.046","99.237","99.427","99.237","97.71","97.615","97.424","97.519","97.615","98.092","98.473","98.569","99.046","99.141","99.332","99.141","98.569","98.187","98.378","97.805","97.901","97.901","98.187","97.996","98.187","98.664","100.095","100","99.1","99.2","99.7","99","99.5","99.7","99.8","99.9","100.9","100.9","100.8","101.5","102.7","102.1","102.1","101.9","101.7","101.8","101.6","101.8","102","101.9","101.9","102.2","102.3","102.3","102.5","102.2","102.5","102.7","102.4","101.9","102.1","101.6","101.3","100.8","101.1","101","101","100.6","101","101.3","101.1","101.1","102.3","102.4","102.4","103.4","102.1","101.8","102.3","102.1","101.9","101.9","101.8","102.2","102.2","103.4","103.4","104.2","104.2","103.9","104.3","104.3","104.2","104.9","104.9","104.7","105.7","105.6","105.6","105.7","104.8","104.9","105.3","105.2","105.1","105.5","105.4",
"제조업","가동률지수(원지수)","","104.197","92.865","108.185","107.345","103.358","108.08","106.191","99.056","104.827","110.178","107.03","107.87","100.735","92.865","108.709","103.463","107.03","108.395","105.142","98.321","99.37","104.932","109.129","108.709","98.846","97.377","109.864","103.568","104.617","105.352","104.302","100","108.185","97.901","106.925","101.889","102.413","90.451","106.401","104.932","107.03","106.086","105.352","102.308","98.741","109.759","106.821","103.882","101.574","86.149","103.148","104.827","106.925","103.673","108.814","100.63","101.574","108.709","105.876","107.555","95.1","93.3","107.3","96.1","91.5","99","100.7","93.4","106.2","102.8","105.6","109","100.7","93.1","109.5","104.6","103.1","108.7","107.9","101.7","103.3","106.3","111.1","117.2","106","98.3","112.8","108","109.1","108.7","105.8","99.9","100","101.7","103.8","103.7","92.5","91.8","106.3","99.4","103.7","104.4","98.8","100.4","102.7","102.5","106.7","104.7","101","91.9","103.1","103.3","104.8","104.3","100.6","100.9","98.5","104.8","103.8","106.6","92.8","95","105","104","102.2","103.4","102.9","99.9","109.9","94.7","101.4","108.7","98.5","91.3","107.9","103.5","99","107.5","104.8",
"제조업","가동률지수(계절조정)","","105.605","106.738","104.45","105.38","102.239","104.642","103.183","104.949","106.692","105.65","105.116","104.212","103.715","105.054","104.924","103.432","106.056","105.017","103.886","100.765","101.403","100.343","105.462","102.99","106.452","105.169","105.991","103.812","103.854","102.107","103.154","102.345","102.586","103.854","103.303","99.462","103.7","103.819","102.588","105.457","106.432","104.524","104.345","104.535","102.027","105.311","103.18","101.167","102.876","98.754","100.992","103.929","103.104","102.158","106.231","102.666","104.929","104.315","102.26","104.534","102.5","99.2","103.1","98.5","89.8","95.9","98.5","98.1","103","103.5","103.7","104.1","103.5","106.8","105.2","103.9","103.1","103.5","105.8","105","104.6","105.5","107.4","111.7","112","110.2","110.3","108","106","106.7","105.6","101.8","101.5","99.6","100.2","96.5","99.7","98.4","101.9","100.6","104","100.8","98.7","102.1","103.1","103","103.3","100.7","101.8","103.6","100.3","104","103.3","102.2","99","103","102","102.8","100.4","102.7","101.6","102","103.9","103.5","101.1","102.8","101.5","103.7","103.2","99","99.7","102.5","99.5","104.6","105","103","99.6","105.1","105.3",
"식료품 제조업","생산능력지수","","92.62","92.159","92.066","91.697","91.697","91.513","91.328","91.79","91.974","92.897","93.727","93.635","93.727","93.45","93.45","93.173","93.173","92.62","92.897","92.62","93.173","93.542","94.188","93.727","93.542","92.712","92.528","92.159","91.882","91.697","91.697","92.251","92.989","93.081","94.28","94.28","95.111","95.203","95.203","95.295","95.48","95.295","94.557","94.742","95.203","95.387","96.494","96.402","98.708","98.616","98.893","98.432","99.077","99.17","99.262","99.908","99.723","99.631","98.985","98.708","99.9","100.7","101","99.8","99.6","99.8","99.9","100","100.2","99.6","99.6","99.8","99.8","99.3","98.8","99","98.8","98.8","97.9","97.9","97.7","97.5","97.3","96.9","96.1","95.8","95.6","93.9","93.7","93.3","92.4","92.6","92.2","90.7","91.1","90.6","90.5","90.5","90.3","90","89.8","89.7","89","89.2","88.7","89.4","89.6","89.1","88.5","88.3","88.5","89.1","89.2","89.1","88.2","88.3","88","88.1","87.9","88","87.3","87.2","86.8","86.9","86.9","86.9","86.2","85.8","86.4","86.1","86.5","86.4","87.1","86.8","87.2","86.7","86.4","86.4","86.4",
"식료품 제조업","가동률지수(원지수)","","101.572","86.64","100.098","100.098","96.169","99.411","100.786","98.035","99.312","100.393","95.874","100.491","99.902","88.212","103.438","98.723","101.277","101.572","100.589","103.929","98.428","102.063","102.161","101.67","100.196","93.418","104.617","98.919","101.277","102.358","99.902","104.715","111.69","93.713","101.473","98.625","104.224","88.114","98.723","98.232","103.242","98.33","98.428","103.143","96.66","105.697","101.375","98.723","107.171","83.202","98.134","101.473","101.866","95.285","102.652","98.428","95.187","104.617","101.67","102.652","101.3","92.9","102.1","100.4","96.8","99.8","102.6","94.6","106.7","97.4","99.3","106","103","88.4","102.4","101","98.3","101.7","101.9","99.9","101.1","103.6","107.3","113.4","110.2","93.4","110.5","108.6","112.5","109.5","111.5","114.7","109.2","108.8","112.2","114.3","107.2","99.5","110.8","104.7","111.1","109.6","106.4","110","109.4","110.1","112.7","107.8","118.4","100.5","109.1","113.9","115.8","109.3","115","113.1","105.7","118.4","114","116.1","111.7","109.4","114.5","120","112.8","110.7","118","111.1","123.9","108.4","113","120.5","118.8","99.8","114.6","118.2","111.5","117.2","117.2",
"식료품 제조업","가동률지수(계절조정)","","95.018","99.886","97.737","98.206","97.225","99.135","99.406","101.025","100.899","96.108","97.312","97.048","95.682","99.42","100.875","99.128","102.401","101.365","101.612","102.195","100.4","97.215","101.268","95.942","100.262","100.762","101.924","99.293","102.454","102.219","100.942","103.036","102.341","104.058","100.547","97.569","97.754","101.365","96.089","98.586","104.491","100.592","99.499","101.577","100.584","101.013","100.401","97.611","100.223","95.956","97.688","99.449","98.349","97.523","101.401","97.06","99.24","99.85","100.669","101.416","101.3","97.8","99.1","103.1","95.7","99.7","101.4","98","101.4","99.6","100.7","102.2","99","101.4","99.3","98.8","99.6","99.4","100.7","101.2","103.1","103.7","106.2","109","107.8","105.1","110","106.4","109","112.3","112.7","113.3","111.3","106.4","111.2","107.2","106.6","106.8","107.4","105","113","110.1","107.9","109.4","110.4","111.7","111.6","105.8","110.8","112.1","108","114","114.8","112.2","113.7","112.5","110.7","116","112.8","113.9","114.7","116.7","115.8","117.1","111.9","116.4","116.8","113.4","113.6","115.7","114.2","115.3","111.5","113.8","113.2","115.4","113.2","120.2","118.6",
"도축, 육류 가공 및 저장 처리업","생산능력지수","","86.219","85.788","86.477","85.874","83.463","83.032","82.515","83.721","85.616","88.63","90.612","91.645","90.612","88.458","88.803","87.166","85.271","81.137","83.893","81.137","82.601","84.755","86.305","86.908","87.683","85.702","83.118","80.792","79.587","76.916","77.606","76.744","78.725","89.664","89.147","88.114","89.32","88.114","87.08","87.425","88.717","86.908","83.979","84.152","86.908","89.664","99.655","101.206","109.388","108.699","106.891","103.445","105.168","104.91","106.546","106.202","108.613","108.699","109.044","107.407","106.4","108.4","108.9","99.1","96.4","96.7","95.9","96.3","98.1","97.7","98.8","97.3","96","94","90.6","91.4","90.7","90.4","89.4","88.8","89.5","91","90.3","88.7","87.5","86.3","84.4","84.2","81.5","81.9","83.3","84.5","84.6","84.5","86.9","87.3","86.4","84.4","84.5","82.9","80.3","80","80.2","81.2","83.1","84.9","86.1","83.4","78.1","76.9","78.3","77.8","78.9","79.2","76.2","76.1","74.8","76.4","79.2","80.8","78.5","77.6","77.9","78.8","78.1","79.4","75.8","73.8","74.4","73.9","76.2","75.1","75.8","73.9","74.3","74.5","73.4","73.8","73.7",
"도축, 육류 가공 및 저장 처리업","가동률지수(원지수)","","112.257","90.467","94.747","98.541","90.856","94.65","104.28","104.377","105.642","94.65","82.004","94.844","108.074","83.755","101.167","92.121","98.152","97.568","106.712","116.926","97.471","99.514","99.805","103.502","107.685","91.829","106.615","98.541","102.432","108.56","106.323","122.665","121.304","92.121","97.957","97.082","110.506","91.732","100.292","101.459","105.35","103.307","101.362","113.23","105.058","104.28","96.304","97.276","109.339","75.875","86.089","92.704","96.109","89.591","95.233","102.821","86.479","97.568","88.716","95.623","100.6","88.5","94.7","98.6","92.8","98.7","109.7","100.1","118.5","93.3","96","108.4","104.4","88.2","102","101","98.5","104.4","109.5","112","113.3","108.1","108.5","117.5","131.4","97","123.5","116.7","122","121.2","123.3","139","122.1","117.3","119.2","126.3","116.8","103.4","119.6","109.2","118.2","118.5","113.2","121.9","121.8","115.4","116","114.3","139.1","114.1","120.6","127.5","132.8","124.9","138.9","141","122.7","139.6","129","136.8","130.8","122.9","125.9","138.2","132.6","128.7","143.7","137.1","160.8","130.9","129.8","143.7","146.8","119","132.7","143.1","133.7","140.6","147.5",
"도축, 육류 가공 및 저장 처리업","가동률지수(계절조정)","","101.351","110.315","93.455","99.465","95.194","94.386","97.883","98.343","102.284","94.358","88.701","92.627","100.271","99.293","99.758","95.572","102.306","97.315","103.435","103.868","98.23","95.327","104.963","98.31","104.328","103.954","105.203","101.971","106.431","108.224","103.285","109.291","103.053","111.164","103.03","98.09","99.993","110.746","99.053","104.776","109.209","105.996","98.712","101.332","107.332","101.564","101.163","98.286","97.922","92.219","87.738","92.773","93.61","91.747","90.315","92.571","90.128","93.044","93.064","96.463","96.8","96.8","93.8","104.6","93","98","104.4","96.4","106","100.3","103.6","105.9","97.2","105.6","101.2","100.7","101.6","100.5","104.4","105.3","114.7","108.9","113.4","114.5","124.1","114.3","126.6","116","118.6","123.9","121.3","127.6","123.8","114.4","124.5","119.2","111.8","116.3","119.1","111.8","122.1","117.6","111.4","112.4","117.4","121.8","121","114.5","125.3","131.9","123.9","130.4","133.2","127.8","132.8","130.5","128.3","135.7","134.3","136.9","130.4","136.1","133.3","137.1","133.1","135.6","137.4","131.2","135.6","148.4","139.2","139.4","132.4","141","136.4","141.8","138.4","143.7","145.3",
"수산물 가공 및 저장 처리업","생산능력지수","","92.796","93.27","93.839","93.365","94.502","94.218","95.64","96.019","96.303","95.924","96.019","95.545","95.64","96.114","94.597","95.071","95.64","95.64","93.365","92.701","92.796","92.227","90.332","90.142","90.806","89.953","90.142","90.237","91.28","90.237","90.995","90.9","91.943","89.194","91.374","91.374","92.796","91.943","90.521","93.649","93.839","94.123","93.555","93.649","93.175","93.555","94.313","94.313","95.45","95.355","96.209","96.209","96.588","96.398","97.156","97.156","97.251","97.346","97.156","97.251","99.5","100.2","100.4","100.4","100.4","100.1","99.3","99.6","99.7","99.9","99.1","101.4","99.6","99.2","99.6","99.9","99.8","99.5","98.8","98.9","98.4","98.9","99.5","100","99.4","99.1","99.7","95","95.6","94.1","92.2","93.3","93.1","92","92.3","86","85.1","85.2","85.9","84.6","84.3","84.9","84.8","84.9","84.8","84.7","84.7","85.6","84.3","84.2","85.8","83.4","82.6","81.5","81.2","81.4","81.3","81.3","81.5","80.5","80.6","80.7","80.6","79.9","79.5","79.4","75.7","73.5","74.9","75.2","75.8","75.6","77.3","78.3","78.2","76.1","75.9","76","75.7",
